iter	MultiClass
852	0.03542154106
853	0.03539296973
854	0.03537543123
855	0.03533373734
856	0.0352923556
857	0.03522860178
858	0.03520609005
859	0.03517172319
860	0.03512589558
861	0.0350616558
862	0.0350024359
863	0.03495169468
864	0.03492557529
865	0.03489526107
866	0.03483073512
867	0.034816406
868	0.03480285822
869	0.03478303548
870	0.03473879764
871	0.03472079728
872	0.03468852564
873	0.03467775673
874	0.03463733964
875	0.03460783431
876	0.03454961546
877	0.03451644002
878	0.03448564955
879	0.03446697254
880	0.0344582417
881	0.03444209729
882	0.03440586923
883	0.03437130456
884	0.0343540152
885	0.03433247974
886	0.03430044918
887	0.03427160687
888	0.03421532307
889	0.03418146733
890	0.03417200591
891	0.03415131376
892	0.03411118352
893	0.0340966054
894	0.03407295554
895	0.03402927163
896	0.03399168084
897	0.03395930932
898	0.03393171935
899	0.03389402169
900	0.03385549084
901	0.03384087865
902	0.03380306018
903	0.03378430685
904	0.03377025303
905	0.03372899003
906	0.03370915851
907	0.03368451148
908	0.03362607825
909	0.03361630839
910	0.03359011995
911	0.03356986889
912	0.03349742463
913	0.03345723016
914	0.03344475776
915	0.03342184902
916	0.03336560756
917	0.03334365348
918	0.03332277827
919	0.03330473993
920	0.03327176174
921	0.03325932596
922	0.03323505146
923	0.0332229363
924	0.03320421956
925	0.03317171881
926	0.03315274415
927	0.03311740931
928	0.03307819503
929	0.03300211955
930	0.03295721968
931	0.03293082668
932	0.03286153716
933	0.03284817341
934	0.03282562073
935	0.03278345381
936	0.0327368989
937	0.03272497969
938	0.03268231911
939	0.03265785412
940	0.03264027375
941	0.03262347763
942	0.0326150234
943	0.0325688037
944	0.03253173597
945	0.03249193247
946	0.03243771323
947	0.03238328963
948	0.03233756473
949	0.0323171026
950	0.03230467929
951	0.03226898675
952	0.03223214061
953	0.03220498198
954	0.03217433197
955	0.03216047868
956	0.03212140652
957	0.0320862779
958	0.0320463558
959	0.03201824697
960	0.0319780441
961	0.03193797459
962	0.03190442113
963	0.03189233006
964	0.0318561348
965	0.03184229834
966	0.03180854937
967	0.03176411266
968	0.03174753042
969	0.03172463512
970	0.03170547474
971	0.03165492166
972	0.03164854735
973	0.03161486113
974	0.03151619713
975	0.03147302886
976	0.03145287144
977	0.03142239164
978	0.03139819403
979	0.03136974827
980	0.03134511673
981	0.0313160505
982	0.03130169513
983	0.03126427981
984	0.03122392388
985	0.03118788461
986	0.03116287254
987	0.03111981575
988	0.03107347496
989	0.03105217529
990	0.03102727634
991	0.03098996077
992	0.03097392699
993	0.03095574101
994	0.03090641379
995	0.03088403708
996	0.03087920639
997	0.03085970951
998	0.03082215895
999	0.03080328812
